images,correctAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,Fixation1.started,Fixation1.stopped,Trial1.started,Trial1.stopped,key_resp.keys,key_resp.corr,key_resp.started,key_resp.stopped,key_resp.rt,Fixation2.started,Fixation2.stopped,Trial2.started,Trial2.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
Task samples\相同的奇偶规律 4.png,2,,,,,0,14,14,2,,,,,,,,,,195.26310350000858,196.26730689988472,196.25035149999894,None,1,0,0.00390110001899302,1.015067060245201,None,3,001,2021_Aug_10_1147,Demo,2021.2.1,59.68998221404265,
Task samples\相同的数列规律 7.png,2,,,,,0,15,15,15,,,,,,,,,,196.3048805000726,197.30982459988445,197.292847200064,None,1,0,0.01688020001165569,1.0173936600331217,None,3,001,2021_Aug_10_1147,Demo,2021.2.1,59.68998221404265,
Task samples\相同的数列规律 3.png,2,,,,,0,16,16,11,,,,,,,,,,197.34821239998564,198.34891869989224,198.33153739990667,None,1,0,0.026221400126814842,1.0138203599490225,None,3,001,2021_Aug_10_1147,Demo,2021.2.1,59.68998221404265,
Task samples\相同的数列规律 1.png,1,,,,,0,17,17,9,,,,,,,,,,198.4027462999802,199.40609079995193,199.38914049998857,None,1,1,0.040587399853393435,1.0144776599481702,None,3,001,2021_Aug_10_1147,Demo,2021.2.1,59.68998221404265,
Task samples\相同的位置规律 5.png,1,,,,,0,18,18,23,,,,,,,,,,199.47703660000116,200.48196660005488,200.4650999000296,None,2,0,0.16473700013011694,1.0184018600266427,None,3,001,2021_Aug_10_1147,Demo,2021.2.1,59.68998221404265,
Task samples\相同的数列规律 10.png,2,,,,,0,19,19,18,,,,,,,,,,200.6696136998944,201.67356180003844,201.65667030005716,None,1,0,0.02134089986793697,1.0160518602933735,None,3,001,2021_Aug_10_1147,Demo,2021.2.1,59.68998221404265,
Task samples\相同的奇偶规律 2.png,2,,,,,0,20,20,0,,,,,,,,,,201.72781589999795,202.73343589995056,202.71625000005588,None,1,0,0.15356889995746315,1.017504659947008,None,3,001,2021_Aug_10_1147,Demo,2021.2.1,59.68998221404265,
Task samples\相同的数列规律 4.png,2,,,,,0,21,21,12,,,,,,,,,,202.9170649999287,203.9178853998892,203.90051810001023,None,2,1,0.14578099991194904,1.0086016599088907,None,3,001,2021_Aug_10_1147,Demo,2021.2.1,59.68998221404265,
Task samples\相同的位置规律 1.png,1,,,,,0,22,22,19,,,,,,,,,,204.08900930010714,205.09196630003862,205.07520349998958,None,2,0,0.11526659992523491,1.015710559906438,None,3,001,2021_Aug_10_1147,Demo,2021.2.1,59.68998221404265,
Task samples\相同的位置规律 10.png,2,,,,,0,23,23,28,,,,,,,,,,205.22967709996738,206.23327259998769,206.2165616999846,None,2,1,0.07716549979522824,1.0160208598244935,None,3,001,2021_Aug_10_1147,Demo,2021.2.1,59.68998221404265,
Task samples\相同的位置规律 8.png,2,,,,,0,24,24,26,,,,,,,,,,206.33776740008034,207.3417674000375,207.32480309996754,None,1,0,0.07289749989286065,1.0151514599565417,None,3,001,2021_Aug_10_1147,Demo,2021.2.1,59.68998221404265,
Task samples\相同的奇偶规律 10.png,2,,,,,0,25,25,8,,,,,,,,,,207.44682330009528,208.4491320999805,208.4323269999586,None,2,1,0.13388039986602962,1.0149269599933177,None,3,001,2021_Aug_10_1147,Demo,2021.2.1,59.68998221404265,
Task samples\相同的位置规律 2.png,1,,,,,0,26,26,20,,,,,,,,,,208.6036451999098,209.60847040009685,209.59162939991802,None,1,1,0.03919190005399287,1.0155570600181818,None,3,001,2021_Aug_10_1147,Demo,2021.2.1,59.68998221404265,
Task samples\相同的奇偶规律 7.png,2,,,,,0,27,27,5,,,,,,,,,,209.67946049990132,210.70096959988587,210.68439609999768,None,2,1,0.6179599999450147,1.0333918598480523,None,3,001,2021_Aug_10_1147,Demo,2021.2.1,59.68998221404265,
Task samples\相同的数列规律 8.png,1,,,,,0,28,28,16,,,,,,,,,,211.33922159997746,212.34377079992555,212.32678729994223,None,2,0,0.26326079992577434,1.0168128600344062,None,3,001,2021_Aug_10_1147,Demo,2021.2.1,59.68998221404265,
